,Type,Price,Location,Baths,Area,Beds
10589,House,PKR40 Thousand,"Ali Alam Garden, Lahore, Punjab",5,6 Marla,4
10590,Upper Portion,PKR40 Thousand,"TIP Housing Society, Lahore, Punjab",3,10 Marla,3
10591,Flat,PKR22 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
10592,Flat,PKR20 Thousand,"Township, Lahore, Punjab",1,5 Marla,1
10593,Upper Portion,PKR40 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",3,10 Marla,3
10594,House,PKR65 Thousand,"Johar Town, Lahore, Punjab",4,12 Marla,4
10595,Upper Portion,PKR50 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
10596,Flat,PKR30 Thousand,"Paragon City, Lahore, Punjab",2,4 Marla,2
10597,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,4
10598,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
10599,House,PKR45 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",6,5 Marla,4
10600,House,PKR35 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",4,4 Marla,3
10601,Lower Portion,PKR30 Thousand,"Pak Arab Housing Society, Lahore, Punjab",2,5 Marla,1
10602,House,PKR1.48 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
10603,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10604,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10605,House,PKR47 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
10606,Flat,PKR43 Thousand,"Bahria Town, Lahore, Punjab",1,2.3 Marla,1
10607,Flat,PKR43 Thousand,"Bahria Town, Lahore, Punjab",2,4.4 Marla,2
10608,Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",2,4.4 Marla,2
10609,House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",7,10 Marla,5
10610,House,PKR70 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3
10611,House,PKR65 Thousand,"Dream Avenue Lahore, Lahore, Punjab",4,6.5 Marla,5
10612,House,PKR60 Thousand,"Dream Avenue Lahore, Lahore, Punjab",3,5 Marla,3
10613,House,PKR78 Thousand,"Johar Town, Lahore, Punjab",6,5 Marla,7
10614,House,PKR1.7 Lakh,"Garden Town, Lahore, Punjab",4,8 Marla,4
10615,Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10616,House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",5,5 Marla,3
10617,Lower Portion,PKR40 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,10 Marla,2
10618,House,PKR70 Thousand,"Model Town, Lahore, Punjab",1,10 Marla,1
10619,House,PKR70 Thousand,"Gulberg, Lahore, Punjab",4,5 Marla,4
10620,House,PKR75 Thousand,"Park View City, Lahore, Punjab",5,10 Marla,5
10621,Room,PKR20 Thousand,"Abdalians Cooperative Housing Society, Lahore, Punjab",1,2 Marla,1
10622,House,PKR90 Thousand,"IEP Engineers Town, Lahore, Punjab",5,10 Marla,4
10623,Upper Portion,PKR85 Thousand,"NFC 1, Lahore, Punjab",3,1 Kanal,3
10624,Upper Portion,PKR28 Thousand,"Audit & Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
10625,Upper Portion,PKR65 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
10626,House,PKR80 Thousand,"UET Housing Society, Lahore, Punjab",3,1 Kanal,3
10627,House,PKR1.3 Lakh,"UET Housing Society, Lahore, Punjab",6,1 Kanal,6
10628,Lower Portion,PKR40 Thousand,"Cantt, Lahore, Punjab",3,10 Marla,2
10629,Lower Portion,PKR1.4 Lakh,"Model Town, Lahore, Punjab",4,1 Kanal,4
10630,Room,PKR12 Thousand,"Fateh Garh, Lahore, Punjab",1,2.2 Marla,1
10631,House,PKR4 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
10632,Upper Portion,PKR22 Thousand,"Islampura, Lahore, Punjab",2,6 Marla,2
10633,House,PKR20 Thousand,"Nishtar Colony, Lahore, Punjab",2,2 Marla,2
10634,House,PKR40 Thousand,"Ali Alam Garden, Lahore, Punjab",5,6 Marla,4
10635,Upper Portion,PKR40 Thousand,"TIP Housing Society, Lahore, Punjab",3,10 Marla,3
10636,Flat,PKR22 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
10637,Flat,PKR20 Thousand,"Township, Lahore, Punjab",1,5 Marla,1
10638,Upper Portion,PKR40 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",3,10 Marla,3
10639,House,PKR65 Thousand,"Johar Town, Lahore, Punjab",4,12 Marla,4
10640,Upper Portion,PKR50 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
10641,Flat,PKR30 Thousand,"Paragon City, Lahore, Punjab",2,4 Marla,2
10642,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,4
10643,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
10644,House,PKR45 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",6,5 Marla,4
10645,House,PKR35 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",4,4 Marla,3
10646,Lower Portion,PKR30 Thousand,"Pak Arab Housing Society, Lahore, Punjab",2,5 Marla,1
10647,House,PKR1.48 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
10648,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10649,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10650,House,PKR47 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
10651,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3
10652,House,PKR1.9 Lakh,"Model Town, Lahore, Punjab",5,1 Kanal,5
10653,Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",5,1.2 Kanal,3
10654,Upper Portion,PKR45 Thousand,"Faisal Town, Lahore, Punjab",2,10 Marla,2
10655,Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",5,1.2 Kanal,3
10656,Room,PKR30 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
10657,House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",5,10 Marla,5
10658,Upper Portion,PKR1.5 Lakh,"Garden Town, Lahore, Punjab",4,2 Kanal,4
10659,Lower Portion,PKR45 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
10660,House,PKR55 Thousand,"Gul Kali, Lahore, Punjab",4,6 Marla,4
10661,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10662,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10663,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
10664,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10665,House,PKR1.2 Lakh,"Divine Gardens, Lahore, Punjab",4,10 Marla,4
10666,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,15 Marla,5
10667,House,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
10668,Lower Portion,PKR65 Thousand,"IEP Engineers Town, Lahore, Punjab",4,1 Kanal,3
10669,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
10670,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
10671,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10672,House,PKR1.2 Lakh,"Garden Town, Lahore, Punjab",4,1 Kanal,4
10673,Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",3,1 Kanal,3
10674,Lower Portion,PKR90 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",3,1 Kanal,2
10675,Upper Portion,PKR40 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
10676,Upper Portion,PKR15 Thousand,"Model Town, Lahore, Punjab",2,3 Marla,2
10677,Upper Portion,PKR30 Thousand,"Model Town, Lahore, Punjab",2,5 Marla,2
10678,Upper Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",3,15 Marla,3
10679,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
10680,Flat,PKR32 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
10681,House,PKR65 Thousand,"Sunfort Gardens, Lahore, Punjab",4,5 Marla,4
10682,Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
10683,Upper Portion,PKR80 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,3
10684,House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,4
10685,Upper Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
10686,House,PKR45 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,3
10687,House,PKR3.5 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,5
10688,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
10689,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
10690,House,PKR2.2 Lakh,"Gulberg, Lahore, Punjab",4,12 Marla,4
10691,House,PKR3.25 Lakh,"Garden Town, Lahore, Punjab",7,1 Kanal,7
10692,House,PKR45 Thousand,"Valencia Housing Society, Lahore, Punjab",3,5 Marla,3
10693,House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
10694,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
10695,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
10696,Flat,PKR65 Thousand,"Bahria Town, Lahore, Punjab",2,2.7 Marla,2
10697,House,PKR4.25 Lakh,"DHA Defence, Lahore, Punjab",5,2.5 Kanal,5
10698,Upper Portion,PKR90 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10699,House,PKR2.5 Lakh,"Model Town, Lahore, Punjab",4,1 Kanal,4
10700,Flat,PKR1.45 Lakh,"DHA Defence, Lahore, Punjab",-,7.2 Marla,2
10701,Room,PKR30 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
10702,House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",5,10 Marla,5
10703,Upper Portion,PKR1.5 Lakh,"Garden Town, Lahore, Punjab",4,2 Kanal,4
10704,Lower Portion,PKR45 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
10705,House,PKR55 Thousand,"Gul Kali, Lahore, Punjab",4,6 Marla,4
10706,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10707,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10708,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
10709,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10710,House,PKR1.2 Lakh,"Divine Gardens, Lahore, Punjab",4,10 Marla,4
10711,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,15 Marla,5
10712,House,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
10713,Lower Portion,PKR65 Thousand,"IEP Engineers Town, Lahore, Punjab",4,1 Kanal,3
10714,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
10715,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
10716,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
10717,House,PKR1.2 Lakh,"Garden Town, Lahore, Punjab",4,1 Kanal,4
10718,Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",3,1 Kanal,3
10719,Lower Portion,PKR90 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",3,1 Kanal,2
10720,Upper Portion,PKR40 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
10721,Upper Portion,PKR15 Thousand,"Model Town, Lahore, Punjab",2,3 Marla,2
10722,Upper Portion,PKR30 Thousand,"Model Town, Lahore, Punjab",2,5 Marla,2
10723,Upper Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",3,15 Marla,3
10724,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
10725,Flat,PKR32 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
10726,Upper Portion,PKR23 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,4 Marla,2
10727,Room,PKR40 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
10728,Flat,PKR1.75 Lakh,"DHA Defence, Lahore, Punjab",3,7.7 Marla,2
10729,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
10730,House,PKR60 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",4,5 Marla,3
10731,Lower Portion,PKR40 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,1
10732,House,PKR1.55 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
10733,House,PKR70 Thousand,"Johar Town, Lahore, Punjab",5,5 Marla,3
10734,Lower Portion,PKR23 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,4 Marla,2
10735,Flat,PKR75 Thousand,"Askari, Lahore, Punjab",5,12 Marla,4
10736,Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
10737,Flat,PKR72 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
10738,House,PKR1.5 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
10739,House,PKR1.2 Lakh,"Askari, Lahore, Punjab",4,10 Marla,4
10740,House,PKR1.5 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
10741,Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10742,House,PKR1.95 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
10743,Upper Portion,PKR85 Thousand,"Garden Town, Lahore, Punjab",2,1 Kanal,2
10744,House,PKR2.25 Lakh,"Garden Town, Lahore, Punjab",4,1 Kanal,4
10745,Upper Portion,PKR80 Thousand,"Garden Town, Lahore, Punjab",2,1 Kanal,2
10746,Flat,PKR90 Thousand,"Muslim Town, Lahore, Punjab",3,4.7 Marla,3
10747,House,PKR62 Thousand,"Green City, Lahore, Punjab",3,5 Marla,3
10748,House,PKR22 Thousand,"Hamza Town, Lahore, Punjab",2,3 Marla,3
10749,Flat,PKR20 Thousand,"Pak Arab Housing Society, Lahore, Punjab",2,3 Marla,2
10750,Flat,PKR16 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,3 Marla,1
10751,House,PKR51 Thousand,"Pak Arab Housing Society, Lahore, Punjab",4,5 Marla,3
10752,House,PKR60 Thousand,"Pak Arab Housing Society, Lahore, Punjab",4,5 Marla,4
10753,Lower Portion,PKR28 Thousand,"Jubilee Town, Lahore, Punjab",3,5 Marla,2
10754,Flat,PKR36 Thousand,"Bahria Town, Lahore, Punjab",2,4 Marla,2
10755,Upper Portion,PKR40 Thousand,"Defence Road, Lahore, Punjab",3,5 Marla,4
10756,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
10757,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
10758,Flat,PKR35 Thousand,"Bahria Town, Lahore, Punjab",2,4 Marla,2
10759,House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,3
10760,Flat,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",-,6.2 Marla,2
10761,Upper Portion,PKR85 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10762,House,PKR3.5 Lakh,"Garden Town, Lahore, Punjab",6,2 Kanal,6
10763,House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,4
10764,Lower Portion,PKR1.5 Lakh,"Wapda Town, Lahore, Punjab",3,1 Kanal,2
10765,Upper Portion,PKR90 Thousand,"EME Society, Lahore, Punjab",4,1.6 Kanal,3
10766,Lower Portion,PKR95 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
10767,House,PKR3 Lakh,"Johar Town, Lahore, Punjab",-,1.1 Kanal,-
10768,House,PKR2.3 Lakh,"Johar Town, Lahore, Punjab",6,1 Kanal,6
10769,Flat,PKR2.25 Lakh,"Gulberg, Lahore, Punjab",2,8.9 Marla,2
10770,Flat,PKR1.5 Lakh,"Cantt, Lahore, Punjab",3,15 Marla,3
10771,House,PKR42 Thousand,"New Lahore City, Lahore, Punjab",4,5 Marla,3
10772,House,PKR2.05 Lakh,"Johar Town, Lahore, Punjab",6,1 Kanal,7
10773,House,PKR3.5 Lakh,"Johar Town, Lahore, Punjab",8,2 Kanal,7
10774,Upper Portion,PKR80 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10775,House,PKR2.75 Lakh,"Model Town, Lahore, Punjab",5,1 Kanal,5
10776,House,PKR1.5 Lakh,"Model Town, Lahore, Punjab",4,11 Marla,4
10777,Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",3,1 Kanal,3
10778,Upper Portion,PKR85 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10779,Upper Portion,PKR55 Thousand,"Garden Town, Lahore, Punjab",2,10 Marla,2
10780,Upper Portion,PKR80 Thousand,"Garden Town, Lahore, Punjab",3,1 Kanal,3
10781,Flat,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
10782,Room,PKR10 Thousand,"UMT Society, Lahore, Punjab",1,1.5 Marla,1
10783,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
10784,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
10785,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10786,Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10787,Upper Portion,PKR45 Thousand,"Park View City, Lahore, Punjab",3,10 Marla,3
10788,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10789,House,PKR1.2 Lakh,"Paragon City, Lahore, Punjab",6,10 Marla,5
10790,Upper Portion,PKR75 Thousand,"Paragon City, Lahore, Punjab",3,1 Kanal,3
10791,Upper Portion,PKR80 Thousand,"Garden Town, Lahore, Punjab",2,1 Kanal,2
10792,Upper Portion,PKR30 Thousand,"Garden Town, Lahore, Punjab",1,5 Marla,1
10793,House,PKR1.7 Lakh,"Model Town, Lahore, Punjab",4,1 Kanal,4
10794,House,PKR2.5 Lakh,"Garden Town, Lahore, Punjab",7,1 Kanal,7
10795,House,PKR2 Lakh,"Garden Town, Lahore, Punjab",4,1 Kanal,4
10796,Upper Portion,PKR1 Lakh,"Garden Town, Lahore, Punjab",3,2.5 Kanal,3
10797,House,PKR70 Thousand,"Garden Town, Lahore, Punjab",3,5 Marla,3
10798,Lower Portion,PKR75 Thousand,"Garden Town, Lahore, Punjab",2,10 Marla,2
10799,House,PKR1.35 Lakh,"Model Town, Lahore, Punjab",4,10 Marla,4
10800,Upper Portion,PKR50 Thousand,"Paragon City, Lahore, Punjab",-,10 Marla,3
10801,Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10802,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
10803,Lower Portion,PKR80 Thousand,"Garden Town, Lahore, Punjab",3,1 Kanal,3
10804,House,PKR2.7 Lakh,"Garden Town, Lahore, Punjab",5,2 Kanal,5
10805,Flat,PKR25 Thousand,"Gulberg, Lahore, Punjab",1,5 Marla,1
10806,Upper Portion,PKR85 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10807,House,PKR3.5 Lakh,"Garden Town, Lahore, Punjab",6,2 Kanal,6
10808,House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,4
10809,Lower Portion,PKR1.5 Lakh,"Wapda Town, Lahore, Punjab",3,1 Kanal,2
10810,Upper Portion,PKR90 Thousand,"EME Society, Lahore, Punjab",4,1.6 Kanal,3
10811,Lower Portion,PKR95 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
10812,House,PKR3 Lakh,"Johar Town, Lahore, Punjab",-,1.1 Kanal,-
10813,House,PKR2.3 Lakh,"Johar Town, Lahore, Punjab",6,1 Kanal,6
10814,Flat,PKR2.25 Lakh,"Gulberg, Lahore, Punjab",2,8.9 Marla,2
10815,Flat,PKR1.5 Lakh,"Cantt, Lahore, Punjab",3,15 Marla,3
10816,House,PKR42 Thousand,"New Lahore City, Lahore, Punjab",4,5 Marla,3
10817,House,PKR2.05 Lakh,"Johar Town, Lahore, Punjab",6,1 Kanal,7
10818,House,PKR3.5 Lakh,"Johar Town, Lahore, Punjab",8,2 Kanal,7
10819,Upper Portion,PKR80 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10820,House,PKR2.75 Lakh,"Model Town, Lahore, Punjab",5,1 Kanal,5
10821,House,PKR1.5 Lakh,"Model Town, Lahore, Punjab",4,11 Marla,4
10822,Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",3,1 Kanal,3
10823,Upper Portion,PKR85 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
10824,Upper Portion,PKR55 Thousand,"Garden Town, Lahore, Punjab",2,10 Marla,2
10825,Upper Portion,PKR80 Thousand,"Garden Town, Lahore, Punjab",3,1 Kanal,3
10826,Flat,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
10827,Room,PKR10 Thousand,"UMT Society, Lahore, Punjab",1,1.5 Marla,1
10828,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
10829,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
10830,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
10831,Lower Portion,PKR47 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
10832,Upper Portion,PKR50 Thousand,"Sabzazar Scheme, Lahore, Punjab",3,12 Marla,3
10833,House,PKR4.5 Lakh,"Gulberg, Lahore, Punjab",8,2 Kanal,8
10834,House,PKR6 Lakh,"Gulberg, Lahore, Punjab",8,2 Kanal,8
10835,House,PKR2.3 Lakh,"Gulberg, Lahore, Punjab",4,12 Marla,4
10836,House,PKR12 Lakh,"Gulberg, Lahore, Punjab",8,3 Kanal,10
10837,House,PKR3 Lakh,"Garden Town, Lahore, Punjab",10,2 Kanal,10
10838,House,PKR2.2 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,7
10839,Upper Portion,PKR70 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,4
10840,House,PKR1.25 Lakh,"Bahria Town, Lahore, Punjab",6,11 Marla,5
10841,Room,PKR7 Thousand,"Muslim Town, Lahore, Punjab",5,7 Marla,11
10842,Upper Portion,PKR32 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,2
10843,House,PKR90 Thousand,"Airport Road, Lahore, Punjab",5,10 Marla,5
10844,Flat,PKR35 Thousand,"Cavalry Ground, Lahore, Punjab",1,3 Marla,1
10845,Flat,PKR40 Thousand,"Cavalry Ground, Lahore, Punjab",2,3 Marla,2
10846,Flat,PKR35 Thousand,"Cavalry Ground, Lahore, Punjab",1,3 Marla,1
10847,Upper Portion,PKR85 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
10848,Lower Portion,PKR13 Thousand,"Immad Garden Housing Scheme, Lahore, Punjab",2,4 Marla,2
10849,House,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,5 Marla,2
10850,House,PKR1 Lakh,"Canal View, Lahore, Punjab",5,1 Kanal,5
10851,House,PKR40 Thousand,"Canal View, Lahore, Punjab",2,10 Marla,2
10852,Flat,PKR40 Thousand,"Canal View, Lahore, Punjab",2,5 Marla,2
10853,House,PKR60 Thousand,"Jail Road, Lahore, Punjab",5,3 Marla,4
10854,Upper Portion,PKR45 Thousand,"Canal Garden, Lahore, Punjab",4,10 Marla,3
10855,House,PKR1 Lakh,"Wapda Town, Lahore, Punjab",5,10 Marla,6
10856,Lower Portion,PKR20 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",-,4 Marla,1
10857,Lower Portion,PKR25 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",2,5 Marla,2
10858,Upper Portion,PKR20 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",-,3.5 Marla,2
10859,House,PKR32 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",-,3 Marla,3
10860,Upper Portion,PKR50 Thousand,"Canal View, Lahore, Punjab",2,1 Kanal,2
10861,Lower Portion,PKR80 Thousand,"Canal View, Lahore, Punjab",2,1.1 Kanal,2
10862,Upper Portion,PKR60 Thousand,"Canal View, Lahore, Punjab",3,1 Kanal,3
10863,Upper Portion,PKR50 Thousand,"Canal View, Lahore, Punjab",2,1 Kanal,2
10864,Lower Portion,PKR23 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
10865,Lower Portion,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
10866,House,PKR40 Thousand,"Eden, Lahore, Punjab",3,5 Marla,3
10867,Upper Portion,PKR35 Thousand,"Shadbagh, Lahore, Punjab",2,6 Marla,4
10868,Upper Portion,PKR35 Thousand,"Shadbagh, Lahore, Punjab",2,6 Marla,4
10869,Upper Portion,PKR55 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,5 Marla,3
10870,Upper Portion,PKR27 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,5 Marla,2
10871,Lower Portion,PKR45 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,10 Marla,2
10872,House,PKR85 Thousand,"Pak Arab Housing Society, Lahore, Punjab",6,10 Marla,5
10873,Lower Portion,PKR28 Thousand,"Izmir Town, Lahore, Punjab",-,5 Marla,-
10874,Upper Portion,PKR32 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,5 Marla,2
10875,Upper Portion,PKR40 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3
10876,Upper Portion,PKR55 Thousand,"Township, Lahore, Punjab",4,1 Kanal,3
10877,Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
10878,Lower Portion,PKR22 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",3,5.5 Marla,2
10879,Upper Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,3
10880,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
10881,House,PKR3 Lakh,"Garden Town, Lahore, Punjab",10,2 Kanal,10
10882,House,PKR2.2 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,7
10883,Upper Portion,PKR70 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,4
10884,House,PKR1.25 Lakh,"Bahria Town, Lahore, Punjab",6,11 Marla,5
10885,Room,PKR7 Thousand,"Muslim Town, Lahore, Punjab",5,7 Marla,11
10886,Upper Portion,PKR32 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,2
