,Type,Price,Location,Baths,Area,Beds
5187,Room,PKR40 Thousand,"Gulberg, Lahore, Punjab",1,5 Marla,1
5188,House,PKR70 Thousand,"OPF Housing Scheme, Lahore, Punjab",4,5 Marla,4
5189,Upper Portion,PKR45 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",3,10 Marla,3
5190,Upper Portion,PKR43 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
5191,Upper Portion,PKR33 Thousand,"Gulshan-e-Lahore, Lahore, Punjab",3,5 Marla,3
5192,Lower Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
5193,Lower Portion,PKR40 Thousand,"BOR - Board of Revenue Housing Society, Lahore, Punjab",2,7 Marla,2
5194,Upper Portion,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
5195,Upper Portion,PKR42 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
5196,Upper Portion,PKR44 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
5197,Upper Portion,PKR44 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
5198,House,PKR2.65 Lakh,"Johar Town, Lahore, Punjab",7,1 Kanal,6
5199,Lower Portion,PKR70 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
5200,House,PKR60 Thousand,"Bahria Orchard, Lahore, Punjab",-,5 Marla,-
5201,House,PKR60 Thousand,"Bahria Orchard, Lahore, Punjab",-,5 Marla,-
5202,House,PKR58 Thousand,"Bahria Orchard, Lahore, Punjab",-,5 Marla,-
5203,House,PKR56 Thousand,"Bahria Orchard, Lahore, Punjab",-,5 Marla,-
5204,House,PKR1.5 Lakh,"State Life Housing Society, Lahore, Punjab",6,1 Kanal,5
5205,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5206,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5207,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
5208,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5209,Flat,PKR69 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5210,Flat,PKR68 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5211,House,PKR95 Thousand,"Askari, Lahore, Punjab",4,10 Marla,4
5212,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5213,Flat,PKR68 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5214,Flat,PKR75 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5215,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,10 Marla,4
5216,Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5217,Flat,PKR1.1 Lakh,"Askari, Lahore, Punjab",4,10 Marla,4
5218,Flat,PKR1.2 Lakh,"Askari, Lahore, Punjab",4,12 Marla,4
5219,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,4
5220,House,PKR1 Lakh,"Paragon City, Lahore, Punjab",5,10 Marla,4
5221,Lower Portion,PKR15 Thousand,"Hamza Town, Lahore, Punjab",2,5 Marla,2
5222,Upper Portion,PKR32 Thousand,"Paragon City, Lahore, Punjab",2,5 Marla,2
5223,Flat,PKR85 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
5224,House,PKR62 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
5225,Upper Portion,PKR48 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
5226,Lower Portion,PKR35 Thousand,"Defence Road, Lahore, Punjab",2,6 Marla,1
5227,House,PKR1.05 Lakh,"Paragon City, Lahore, Punjab",6,10 Marla,5
5228,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5229,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5230,Lower Portion,PKR50 Thousand,"EME Society, Lahore, Punjab",3,9 Marla,2
5231,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5232,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5233,House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5234,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5235,House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5236,House,PKR8 Lakh,"Gulberg, Lahore, Punjab",-,4 Kanal,-
5237,House,PKR6 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,5
5238,House,PKR7 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,5
5239,House,PKR5 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,5
5240,House,PKR10 Lakh,"Gulberg, Lahore, Punjab",6,4 Kanal,6
5241,House,PKR60 Thousand,"Gulberg, Lahore, Punjab",-,15 Marla,2
5242,House,PKR8 Lakh,"Upper Mall, Lahore, Punjab",-,2 Kanal,5
5243,House,PKR8 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,7
5244,House,PKR2 Lakh,"Gulberg, Lahore, Punjab",3,10 Marla,3
5245,Lower Portion,PKR1.1 Lakh,"Gulberg, Lahore, Punjab",2,10 Marla,-
5246,Upper Portion,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5247,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5248,House,PKR37.5 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
5249,House,PKR40 Thousand,"Sabzazar Scheme, Lahore, Punjab",4,3.5 Marla,4
5250,Flat,PKR50 Thousand,"Government Superior Services, Lahore, Punjab",2,6.4 Marla,2
5251,Upper Portion,PKR21 Thousand,"Sabzazar Scheme, Lahore, Punjab",2,3.5 Marla,3
5252,House,PKR50 Thousand,"Nawab Town, Lahore, Punjab",4,5 Marla,4
5253,House,PKR50 Thousand,"Nawab Town, Lahore, Punjab",4,5 Marla,3
5254,House,PKR2 Lakh,"Cantt, Lahore, Punjab",-,1 Kanal,4
5255,Lower Portion,PKR35 Thousand,"Cantt, Lahore, Punjab",2,5 Marla,2
5256,Flat,PKR2 Lakh,"Gulberg, Lahore, Punjab",-,5.8 Marla,2
5257,Flat,PKR66 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5258,House,PKR60 Thousand,"Jubilee Town, Lahore, Punjab",5,5 Marla,5
5259,Lower Portion,PKR26 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,2
5260,Lower Portion,PKR26 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,1
5261,Lower Portion,PKR30 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,2
5262,Lower Portion,PKR21 Thousand,"Jubilee Town, Lahore, Punjab",1,3 Marla,1
5263,House,PKR80 Thousand,"Jubilee Town, Lahore, Punjab",5,10 Marla,5
5264,Lower Portion,PKR28 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,2
5265,House,PKR45 Thousand,"Jubilee Town, Lahore, Punjab",4,3 Marla,4
5266,Lower Portion,PKR45 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
5267,Lower Portion,PKR20 Thousand,"Jubilee Town, Lahore, Punjab",2,3 Marla,1
5268,Upper Portion,PKR40 Thousand,"Jubilee Town, Lahore, Punjab",3,10 Marla,3
5269,House,PKR48 Thousand,"Military Accounts Housing Society, Lahore, Punjab",4,4 Marla,3
5270,Lower Portion,PKR40 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",3,10 Marla,2
5271,Upper Portion,PKR32 Thousand,"Gul-e-Damin, Lahore, Punjab",2,10 Marla,2
5272,Upper Portion,PKR40 Thousand,"Gul-e-Damin, Lahore, Punjab",3,10 Marla,3
5273,Upper Portion,PKR50 Thousand,"Mohafiz Town, Lahore, Punjab",4,10 Marla,4
5274,Upper Portion,PKR65 Thousand,"Gul-e-Damin, Lahore, Punjab",3,1 Kanal,3
5275,House,PKR45 Thousand,"Military Accounts Housing Society, Lahore, Punjab",4,4 Marla,3
5276,House,PKR46 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,4 Marla,3
5277,House,PKR46 Thousand,"Siddiqia Colony, Lahore, Punjab",3,5 Marla,3
5278,Upper Portion,PKR27 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",2,5 Marla,2
5279,House,PKR1.1 Lakh,"BOR - Board of Revenue Housing Society, Lahore, Punjab",4,5 Marla,4
5280,House,PKR47 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,4 Marla,3
5281,Lower Portion,PKR26 Thousand,"College Road, Lahore, Punjab",2,6 Marla,1
5282,Upper Portion,PKR25 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",2,5 Marla,2
5283,Upper Portion,PKR27 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",1,8 Marla,1
5284,House,PKR45 Thousand,"Military Accounts Housing Society, Lahore, Punjab",4,4 Marla,3
5285,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
5286,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5287,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
5288,House,PKR3.4 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,9
5289,Upper Portion,PKR2 Lakh,"Gulberg, Lahore, Punjab",2,2 Kanal,1
5290,Flat,PKR1.3 Lakh,"Askari, Lahore, Punjab",4,13 Marla,4
5291,House,PKR60 Thousand,"Park View City, Lahore, Punjab",4,5 Marla,4
5292,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5293,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
5294,House,PKR2.55 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
5295,House,PKR1.5 Lakh,"State Life Housing Society, Lahore, Punjab",6,1 Kanal,5
5296,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5297,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5298,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
5299,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5300,Flat,PKR69 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5301,Flat,PKR68 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5302,House,PKR95 Thousand,"Askari, Lahore, Punjab",4,10 Marla,4
5303,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
5304,House,PKR1.75 Lakh,"Bahria Town, Lahore, Punjab",-,10 Marla,-
5305,House,PKR90 Thousand,"Township, Lahore, Punjab",8,5 Marla,7
5306,House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",7,10 Marla,5
5307,House,PKR1.08 Lakh,"Bahria Town, Lahore, Punjab",7,10 Marla,5
5308,Lower Portion,PKR42 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,2
5309,House,PKR75 Thousand,"TIP Housing Society, Lahore, Punjab",4,10 Marla,4
5310,Upper Portion,PKR55 Thousand,"Paragon City, Lahore, Punjab",3,10 Marla,3
5311,Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
5312,Flat,PKR3 Lakh,"Gulberg, Lahore, Punjab",3,15 Marla,3
5313,House,PKR57 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
5314,Upper Portion,PKR53 Thousand,"Raiwind Road, Lahore, Punjab",4,1 Kanal,4
5315,Upper Portion,PKR32 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,3
5316,House,PKR38 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
5317,Upper Portion,PKR38 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,3
5318,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5319,Upper Portion,PKR40 Thousand,"LDA Avenue, Lahore, Punjab",2,10 Marla,2
5320,Room,PKR16 Thousand,"LDA Avenue, Lahore, Punjab",1,2.2 Marla,1
5321,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
5322,Upper Portion,PKR42 Thousand,"State Life Housing Society, Lahore, Punjab",3,10 Marla,2
5323,Upper Portion,PKR65 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
5324,Lower Portion,PKR40 Thousand,"Faisal Town, Lahore, Punjab",2,7 Marla,2
5325,Upper Portion,PKR65 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
5326,Lower Portion,PKR35 Thousand,"LDA Avenue, Lahore, Punjab",2,10 Marla,2
5327,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5328,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
5329,House,PKR7 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,5
5330,House,PKR5 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,5
5331,House,PKR10 Lakh,"Gulberg, Lahore, Punjab",6,4 Kanal,6
5332,House,PKR60 Thousand,"Gulberg, Lahore, Punjab",-,15 Marla,2
5333,House,PKR8 Lakh,"Upper Mall, Lahore, Punjab",-,2 Kanal,5
5334,House,PKR8 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,7
5335,House,PKR2 Lakh,"Gulberg, Lahore, Punjab",3,10 Marla,3
5336,Lower Portion,PKR1.1 Lakh,"Gulberg, Lahore, Punjab",2,10 Marla,-
5337,Upper Portion,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5338,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5339,House,PKR37.5 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
5340,House,PKR40 Thousand,"Sabzazar Scheme, Lahore, Punjab",4,3.5 Marla,4
5341,Flat,PKR50 Thousand,"Government Superior Services, Lahore, Punjab",2,6.4 Marla,2
5342,Upper Portion,PKR21 Thousand,"Sabzazar Scheme, Lahore, Punjab",2,3.5 Marla,3
5343,House,PKR50 Thousand,"Nawab Town, Lahore, Punjab",4,5 Marla,4
5344,House,PKR50 Thousand,"Nawab Town, Lahore, Punjab",4,5 Marla,3
5345,House,PKR90 Thousand,"Nawab Town, Lahore, Punjab",5,10 Marla,4
5346,Upper Portion,PKR27 Thousand,"Sunny Park, Lahore, Punjab",3,6 Marla,3
5347,House,PKR58 Thousand,"Sabzazar Scheme, Lahore, Punjab",4,5 Marla,4
5348,House,PKR16.5 Thousand,"Hamza Town, Lahore, Punjab",2,5 Marla,2
5349,Upper Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,8 Marla,2
5350,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
5351,Lower Portion,PKR35 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",3,8 Marla,3
5352,Lower Portion,PKR65 Thousand,"Main Canal Bank Road, Lahore, Punjab",4,1 Kanal,3
5353,Flat,PKR23 Thousand,"Shah Jamal, Lahore, Punjab",2,2.7 Marla,2
5354,Flat,PKR26 Thousand,"Askari, Lahore, Punjab",2,5 Marla,2
5355,House,PKR1.5 Lakh,"Askari, Lahore, Punjab",4,1 Kanal,4
5356,House,PKR62 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5357,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,4
5358,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
5359,Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5360,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5361,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5362,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5363,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
5364,House,PKR45 Thousand,"New Samanabad, Lahore, Punjab",6,5 Marla,6
5365,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
5366,Upper Portion,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",3,5 Marla,3
5367,Upper Portion,PKR55 Thousand,"Model Town, Lahore, Punjab",3,5 Marla,3
5368,Lower Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,1
5369,Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
5370,Upper Portion,PKR35 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
5371,House,PKR62 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5372,House,PKR1.65 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
